year_published,category,count
1950,Abstract Strategy,0
1950,Action / Dexterity,0
1950,Adventure,0
1950,Age of Reason,0
1950,American Civil War,0
1950,American Indian Wars,0
1950,American Revolutionary War,0
1950,American West,0
1950,Ancient,0
1950,Animals,0
1950,Arabian,0
1950,Aviation / Flight,0
1950,Bluffing,1
1950,Book,0
1950,Card Game,2
1950,Children's Game,0
1950,City Building,0
1950,Civil War,0
1950,Civilization,0
1950,Collectible Components,0
1950,Comic Book / Strip,0
1950,Deduction,0
1950,Dice,1
1950,Economic,1
1950,Educational,0
1950,Electronic,0
1950,Environmental,0
1950,Expansion for Base-game,0
1950,Exploration,0
1950,Fantasy,0
1950,Farming,0
1950,Fighting,0
1950,Game System,0
1950,Horror,0
1950,Humor,0
1950,Industry / Manufacturing,0
1950,Korean War,0
1950,Mafia,0
1950,Math,0
1950,Mature / Adult,0
1950,Maze,0
1950,Medical,0
1950,Medieval,0
1950,Memory,0
1950,Miniatures,0
1950,Modern Warfare,0
1950,Movies / TV / Radio theme,0
1950,Murder/Mystery,0
1950,Music,0
1950,Mythology,0
1950,"NA",0
1950,Napoleonic,0
1950,Nautical,0
1950,Negotiation,0
1950,Novel-based,0
1950,Number,0
1950,Party Game,0
1950,Pike and Shot,0
1950,Pirates,0
1950,Political,0
1950,Post-Napoleonic,0
1950,Prehistoric,0
1950,Print & Play,0
1950,Puzzle,0
1950,Racing,0
1950,Real-time,0
1950,Religious,0
1950,Renaissance,0
1950,Science Fiction,0
1950,Space Exploration,0
1950,Spies/Secret Agents,0
1950,Sports,0
1950,Territory Building,0
1950,Trains,0
1950,Transportation,1
1950,Travel,1
1950,Trivia,0
1950,Video Game Theme,0
1950,Vietnam War,0
1950,Wargame,0
1950,Word Game,0
1950,World War I,0
1950,World War II,0
1950,Zombies,0
1951,Abstract Strategy,0
1951,Action / Dexterity,0
1951,Adventure,0
1951,Age of Reason,0
1951,American Civil War,0
1951,American Indian Wars,0
1951,American Revolutionary War,0
1951,American West,0
1951,Ancient,0
1951,Animals,0
1951,Arabian,0
1951,Aviation / Flight,0
1951,Bluffing,0
1951,Book,0
1951,Card Game,0
1951,Children's Game,1
1951,City Building,0
1951,Civil War,0
1951,Civilization,0
1951,Collectible Components,0
1951,Comic Book / Strip,0
1951,Deduction,0
1951,Dice,0
1951,Economic,0
1951,Educational,0
1951,Electronic,0
1951,Environmental,0
1951,Expansion for Base-game,0
1951,Exploration,1
1951,Fantasy,0
1951,Farming,0
1951,Fighting,0
1951,Game System,0
1951,Horror,0
1951,Humor,0
1951,Industry / Manufacturing,0
1951,Korean War,0
1951,Mafia,0
1951,Math,0
1951,Mature / Adult,0
1951,Maze,0
1951,Medical,0
1951,Medieval,0
1951,Memory,0
1951,Miniatures,0
1951,Modern Warfare,0
1951,Movies / TV / Radio theme,0
1951,Murder/Mystery,0
1951,Music,0
1951,Mythology,0
1951,"NA",0
1951,Napoleonic,0
1951,Nautical,0
1951,Negotiation,0
1951,Novel-based,0
1951,Number,0
1951,Party Game,0
1951,Pike and Shot,0
1951,Pirates,0
1951,Political,0
1951,Post-Napoleonic,0
1951,Prehistoric,0
1951,Print & Play,0
1951,Puzzle,0
1951,Racing,0
1951,Real-time,0
1951,Religious,0
1951,Renaissance,0
1951,Science Fiction,0
1951,Space Exploration,0
1951,Spies/Secret Agents,0
1951,Sports,1
1951,Territory Building,0
1951,Trains,0
1951,Transportation,0
1951,Travel,0
1951,Trivia,0
1951,Video Game Theme,0
1951,Vietnam War,0
1951,Wargame,0
1951,Word Game,0
1951,World War I,0
1951,World War II,0
1951,Zombies,0
1952,Abstract Strategy,1
1952,Action / Dexterity,1
1952,Adventure,0
1952,Age of Reason,0
1952,American Civil War,0
1952,American Indian Wars,0
1952,American Revolutionary War,0
1952,American West,0
1952,Ancient,0
1952,Animals,0
1952,Arabian,0
1952,Aviation / Flight,0
1952,Bluffing,0
1952,Book,0
1952,Card Game,0
1952,Children's Game,1
1952,City Building,0
1952,Civil War,0
1952,Civilization,0
1952,Collectible Components,0
1952,Comic Book / Strip,0
1952,Deduction,0
1952,Dice,1
1952,Economic,0
1952,Educational,0
1952,Electronic,0
1952,Environmental,0
1952,Expansion for Base-game,0
1952,Exploration,0
1952,Fantasy,0
1952,Farming,0
1952,Fighting,0
1952,Game System,0
1952,Horror,0
1952,Humor,0
1952,Industry / Manufacturing,0
1952,Korean War,0
1952,Mafia,0
1952,Math,0
1952,Mature / Adult,0
1952,Maze,0
1952,Medical,0
1952,Medieval,0
1952,Memory,0
1952,Miniatures,0
1952,Modern Warfare,0
1952,Movies / TV / Radio theme,0
1952,Murder/Mystery,0
1952,Music,0
1952,Mythology,0
1952,"NA",0
1952,Napoleonic,0
1952,Nautical,0
1952,Negotiation,0
1952,Novel-based,0
1952,Number,0
1952,Party Game,0
1952,Pike and Shot,0
1952,Pirates,0
1952,Political,0
1952,Post-Napoleonic,0
1952,Prehistoric,0
1952,Print & Play,0
1952,Puzzle,0
1952,Racing,1
1952,Real-time,0
1952,Religious,0
1952,Renaissance,0
1952,Science Fiction,0
